Account,date,broad_sentiment,classification,value,trade_count,avg_size_usd,total_size_usd,long_count,short_count,avg_leverage,daily_pnl,win_count,loss_count,close_count,win_rate,long_short_ratio,cum_pnl,rolling_max,drawdown,lev_segment,freq_segment,consistency
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,Greed,Extreme Greed,76,177,5089.718248587571,900880.13,0,177,0.049970118055321026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,Greed,Extreme Greed,90,68,7976.664411764705,542413.1799999999,0,68,0.06555562085264924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,Greed,Extreme Greed,83,40,23734.5,949380.0,0,40,0.01662181002623471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,Greed,Extreme Greed,94,12,28186.666666666668,338240.0,12,0,0.01308510457552584,-21260.823995,0.0,12.0,12.0,0.0,12.0,-21260.823995,0.0,-21260.823995,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,Greed,Extreme Greed,79,27,17248.14814814815,465700.0,12,15,0.21246305354356346,1521.826505,12.0,0.0,12.0,1.0,0.8,-19738.997489999998,0.0,-19738.997489999998,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-27,Greed,Extreme Greed,75,82,16058.536341463414,1316799.98,82,0,0.05409330586916215,-132402.679967,0.0,82.0,82.0,0.0,82.0,-152141.677457,0.0,-152141.677457,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,Greed,Extreme Greed,84,23,48561.68565217392,1116918.77,0,23,0.033942697067655625,0.0,0.0,0.0,0.0,0.0,0.0,-152141.677457,0.0,-152141.677457,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,Greed,Greed,72,33,36736.36242424243,1212299.96,33,0,0.01909544037251726,-175732.230048,0.0,33.0,33.0,0.0,33.0,-327873.907505,0.0,-327873.907505,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,Greed,Extreme Greed,77,465,11410.954021505377,5306093.62,112,353,0.07092251462087167,71010.54256,23.0,89.0,112.0,0.20535714285714285,0.31728045325779036,-256863.364945,0.0,-256863.364945,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,Greed,Extreme Greed,76,51,9400.588039215687,479429.99,28,23,0.005745176826579587,40206.899998,28.0,0.0,28.0,1.0,1.2173913043478262,-216656.464947,0.0,-216656.464947,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,Greed,Greed,60,402,27939.11778606965,11231525.35,258,144,0.07400472326576317,176084.718545,218.0,0.0,218.0,1.0,1.7916666666666667,-40571.74640199999,0.0,-40571.74640199999,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,Fear,Fear,44,673,17998.16539375929,12112765.31,101,572,0.028207229137552945,787.6842960000001,47.0,115.0,162.0,0.29012345679012347,0.17657342657342656,-39784.06210599999,0.0,-39784.06210599999,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,Greed,Greed,72,471,16697.87997876858,7864701.47,189,282,0.4486187635033751,419092.774712,161.0,28.0,189.0,0.8518518518518519,0.6702127659574468,379308.712606,379308.712606,0.0,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,Neutral,Neutral,54,44,37343.31181818182,1643105.72,0,44,0.01096200258989579,0.0,0.0,0.0,0.0,0.0,0.0,379308.712606,379308.712606,0.0,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,Neutral,Neutral,46,189,15715.708624338626,2970268.93,148,41,0.004606566947085614,85983.0887,148.0,0.0,148.0,1.0,3.6097560975609757,465291.801306,465291.801306,0.0,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,Fear,Fear,43,6,134600.00166666668,807600.01,0,6,0.0357881897254505,0.0,0.0,0.0,0.0,0.0,0.0,465291.801306,465291.801306,0.0,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,Neutral,Neutral,49,217,17288.94746543779,3751701.6,63,154,0.004618616285776045,74457.977691,63.0,0.0,63.0,1.0,0.4090909090909091,539749.778997,539749.778997,0.0,Low Leverage,Infrequent,Consistent Winner
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,Fear,Fear,25,61,12295.081967213115,750000.0,61,0,0.003388384576804416,50412.0,61.0,0.0,61.0,1.0,61.0,590161.778997,590161.778997,0.0,Low Leverage,Infrequent,Consistent Winner
